Date,Company,Price,Final Score,Article URL,Sentiment Score,Positive Mentions,Negative Mentions
2025-08-04,台積電,1135.0,2.0,https://news.cnyes.com/news/id/6089981,2.0,12,6
2025-08-04,台積電,1135.0,0.0,https://news.cnyes.com/news/id/6090127,0.0,0,0
2025-08-04,台積電,1135.0,4.0,https://news.cnyes.com/news/id/6090054,4.0,2,0
2025-08-04,聯發科,1330.0,3.0,https://news.cnyes.com/news/id/6089981,3.0,12,6
2025-08-04,鴻海,180.0,3.0,https://news.cnyes.com/news/id/6089981,3.0,12,6
2025-08-04,鴻海,180.0,2.0,https://news.cnyes.com/news/id/6090365,2.0,0,1
2025-08-04,鴻海,180.0,10.0,https://news.cnyes.com/news/id/6089880,10.0,4,1
2025-08-04,長榮,196.5,11.0,https://news.cnyes.com/news/id/6089981,11.0,12,6
