Date,Company,Price,Final Score,Article URL,Sentiment Score,Positive Mentions,Negative Mentions
2025-07-17,台積電,1130.0,0.0,https://tw.news.yahoo.com/%E7%B6%93%E6%BF%9F%E6%95%B8%E6%93%9A-%E4%BC%81%E6%A5%AD%E8%B2%A1%E5%A0%B1%E4%BA%AE%E7%9C%BC-%E7%BE%8E%E8%82%A13%E5%A4%A7%E6%8C%87%E6%95%B8%E9%96%8B%E7%9B%A4%E9%BD%8A%E6%8F%9A-144605444.html,0.0,1,0
2025-07-17,台積電,1130.0,2.86,https://tw.stock.yahoo.com/news/%E6%8A%BC%E5%AF%B6%E5%B0%8D%E4%BA%86%EF%BC%9F%E5%B7%A8%E5%9E%8B%E9%9F%AD%E8%8F%9C%E8%B2%B7%E9%80%B2%E5%8F%B0%E7%A9%8D%E9%9B%BB480%E5%BC%B5%E6%90%AD%E4%B8%8A%E6%9C%AB%E7%8F%AD%E8%BB%8A-104249424.html,2.86,0,0
2025-07-17,台積電,1130.0,1.7,https://tw.news.yahoo.com/%E6%AC%8A%E5%A8%81%E5%A0%B1%E5%91%8A-%E6%96%87%E7%9C%8B%E6%87%82%E5%8F%B0%E7%A9%8D%E9%9B%BB2025%E5%B9%B4q2%E7%87%9F%E6%94%B6%E5%8F%8A%E5%8C%AF%E6%90%8D%E5%BD%B1%E9%9F%BF-181200200.html,1.7,0,0
2025-07-17,台積電,1130.0,2.73,https://tw.news.yahoo.com/%E6%9C%80%E5%BC%B7q2-%E5%8F%B0%E7%A9%8D%E9%9B%BBeps15-36%E5%85%83-%E5%B9%B3%E5%9D%87%E6%97%A5%E8%B3%BA%E9%80%BE44%E5%84%84-102738240.html,2.73,4,0
2025-07-17,台積電,1130.0,5.0,https://tw.stock.yahoo.com/news/%E5%A5%B3%E8%82%A1%E7%A5%9E%E9%A0%98%E8%B7%AF-%E4%B8%BB%E5%8B%95%E5%BC%8Fetf%E9%87%8D%E6%8A%BC%E5%85%A9%E6%AA%94%E6%88%90%E4%BB%BD%E8%82%A1%E5%89%B5%E6%96%B0%E9%AB%98-040545830.html,5.0,0,5
2025-07-17,台積電,1130.0,-4.0,https://tw.stock.yahoo.com/news/%E9%99%8D%E6%81%AF%E5%85%88%E7%AD%89%E7%AD%89-fed%E5%BA%AB%E6%A0%BC%E5%8B%92%E7%A4%BA%E8%AD%A6-%E9%97%9C%E7%A8%85%E9%80%9A%E8%86%A8%E5%A3%93%E5%8A%9B%E6%AD%A3%E5%8D%87%E6%BA%AB-183004343.html?bcmt=1,-4.0,1,0
2025-07-17,台積電,1130.0,2.18,https://tw.news.yahoo.com/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E6%B3%95%E8%AA%AA-a16-%E8%B6%85%E7%B4%9A%E9%9B%BB%E8%BB%8C-2026%E9%87%8F%E7%94%A2-%E9%AD%8F%E5%93%B2%E5%AE%B6%E4%B8%8D%E6%80%95%E5%8C%AF%E7%8E%87%E6%B3%A2%E5%8B%95-161612461.html?bcmt=1,2.18,1,0
2025-07-17,台積電,1130.0,2.73,https://tw.stock.yahoo.com/news/%E6%9C%80%E5%BC%B7q2-%E5%8F%B0%E7%A9%8D%E9%9B%BBeps15-36%E5%85%83-%E5%B9%B3%E5%9D%87%E6%97%A5%E8%B3%BA%E9%80%BE44%E5%84%84-102738240.html,2.73,4,0
2025-07-17,台積電,1130.0,2.0,https://tw.stock.yahoo.com/news/%E6%AD%90%E7%B3%BB%E8%BB%8A%E5%BB%A0%E5%8F%8D%E9%97%9C%E7%A8%85%E7%8D%A8%E6%83%A0%E7%BE%8E%E8%A3%BD%E8%BB%8A-%E7%B6%93%E9%83%A8%E5%A0%85%E6%8C%81%E7%A8%85%E7%8E%87%E5%83%85%E9%81%A9%E7%BE%8E%E5%9C%8B-143400646.html,2.0,0,0
2025-07-17,台積電,1130.0,2.29,https://tw.news.yahoo.com/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E6%B3%95%E8%AA%AA%E5%BE%8C%E5%96%8A%E5%A4%9A-%E9%BA%A5%E6%A0%BC%E7%90%86%E7%9B%AE%E6%A8%99%E5%83%B91310%E5%85%83-142939074.html?bcmt=1,2.29,2,0
2025-07-17,台積電,1130.0,2.73,https://tw.news.yahoo.com/%E6%9C%80%E5%BC%B7q2-%E5%8F%B0%E7%A9%8D%E9%9B%BBeps15-36%E5%85%83-%E5%B9%B3%E5%9D%87%E6%97%A5%E8%B3%BA%E9%80%BE44%E5%84%84-102738240.html?bcmt=1,2.73,4,0
2025-07-17,台積電,1130.0,7.0,https://tw.news.yahoo.com/%E7%BE%8E%E8%82%A1%E9%96%8B%E7%9B%A4%E4%B8%BB%E8%A6%81%E6%8C%87%E6%95%B8%E9%BD%8A%E6%BC%B2-%E5%8F%B0%E7%A9%8D%E9%9B%BBadr%E6%BC%B2%E9%80%BE2-140907224.html,7.0,0,0
2025-07-17,台積電,1130.0,1.78,https://tw.stock.yahoo.com/news/%E3%80%90%E5%8F%B0%E7%A9%8D%E9%9B%BB%E6%B3%95%E8%AA%AA%E6%9C%83%E3%80%91%E3%80%8C%E6%A9%9F%E6%9C%83%E4%BE%86%E4%BA%86%E7%B5%95%E4%B8%8D%E6%94%BE%E9%81%8E%EF%BC%81%E3%80%8D%E9%AD%8F%E5%93%B2%E5%AE%B6%E8%AB%87%E8%A9%B1-%E5%85%AB%E5%A4%A7%E9%87%8D%E9%BB%9E%E4%B8%80%E6%AC%A1%E7%9C%8B-100636021.html,1.78,5,2
2025-07-17,台積電,1130.0,5.6,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%AC%AC3%E5%AD%A3%E7%87%9F%E6%94%B6%E6%81%90%E7%B8%AE%E6%B0%B4-%E9%98%AE%E6%85%95%E9%A9%8A%E8%A7%A3%E8%AE%80%E9%AD%8F%E5%93%B2%E5%AE%B6%E5%BC%A6%E5%A4%96%E4%B9%8B%E9%9F%B3-%E4%B8%8B%E5%8D%8A%E5%B9%B4%E5%BE%88%E9%9B%A3%E8%B6%85%E8%B6%8A%E4%BA%86-151725514.html,5.6,0,0
2025-07-17,台積電,1130.0,1.21,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BBq2%E8%B3%BA%E8%BF%914%E5%8D%83%E5%84%84%E5%8F%B2%E4%B8%8A%E6%9C%80%E5%BC%B7-%E8%B2%A1%E5%A0%B1%E5%A4%A7%E9%A1%AF%E7%A5%9E%E5%B1%B1%E5%AF%A6%E5%8A%9B%E5%8F%B0%E8%82%A1%E9%AB%98%E6%AA%94%E9%9C%87%E7%9B%AA-%E5%AE%88%E7%A9%A923000%E9%BB%9E%E6%88%90%E4%BA%A4%E6%8E%92%E8%A1%8C%E5%89%8D%E4%BA%94%E9%BD%8A%E6%BC%B2-%E5%AF%8C%E5%96%AC%E7%A5%9E%E9%81%94%E7%88%86%E9%87%8F%E6%90%B6%E9%8B%92%E9%A0%AD%EF%BD%9Cyahoo%E8%B2%A1%E7%B6%93%E6%8E%83%E6%8F%8F-092650879.html,1.21,5,0
2025-07-17,台積電,1130.0,-0.6,https://tw.stock.yahoo.com/news/%E3%80%90%E5%8F%B0%E7%A9%8D%E9%9B%BB%E6%B3%95%E8%AA%AA%E6%9C%83%E3%80%91%E5%8F%B2%E4%B8%8A%E6%9C%80%E5%BC%B7%E7%AC%AC%E4%BA%8C%E5%AD%A3%EF%BC%81%E7%A8%85%E5%BE%8C%E7%B4%94%E7%9B%8A%E9%80%BE3982%E5%84%84%E5%85%83%E5%B9%B4%E5%A2%9E61%EF%BC%85-%E6%AF%8F%E8%82%A1%E8%B3%BA1536%E5%85%83-054918399.html,-0.6,0,0
2025-07-17,台積電,1130.0,15.75,https://tw.stock.yahoo.com/news/%E6%B3%95%E8%AA%AA%E5%A0%B1%E5%96%9C-%E5%8F%B0%E7%A9%8D%E9%9B%BBadr%E6%BC%B2%E9%80%BE2-%E5%8F%B0%E6%8C%87%E6%9C%9F%E5%A4%9C%E7%9B%A4%E8%B5%B0%E5%BC%B7-140130631.html,15.75,1,4
2025-07-17,台積電,1130.0,0.0,https://tw.stock.yahoo.com/news/%E5%87%BA%E5%8F%A3%E5%95%86%E8%B3%A3%E5%A3%93%E9%87%8D-%E6%96%B0%E5%8F%B0%E5%B9%A3%E4%B8%AD%E6%AD%A2%E9%80%A3%E4%B8%89%E8%B2%B6-%E5%AE%88%E4%BD%8F29-4%E5%AD%97%E9%A0%AD-095541185.html,0.0,0,0
2025-07-17,台積電,1130.0,-4.0,https://tw.stock.yahoo.com/news/%E7%A9%86%E8%BF%AA-%E9%97%9C%E7%A8%85%E9%A2%A8%E9%9A%AA%E5%8D%87%E6%BA%AB-%E9%AB%98%E9%81%95%E7%B4%84%E9%A2%A8%E9%9A%AA%E4%BC%81%E6%A5%AD%E6%95%B8%E5%8D%87%E8%87%B311%E5%80%8B%E6%9C%88%E9%AB%98%E9%BB%9E-150007782.html?bcmt=1,-4.0,0,0
2025-07-17,台積電,1130.0,0.0,https://tw.stock.yahoo.com/news/%E7%B6%93%E6%BF%9F%E6%95%B8%E6%93%9A-%E4%BC%81%E6%A5%AD%E8%B2%A1%E5%A0%B1%E4%BA%AE%E7%9C%BC-%E7%BE%8E%E8%82%A13%E5%A4%A7%E6%8C%87%E6%95%B8%E9%96%8B%E7%9B%A4%E9%BD%8A%E6%8F%9A-144605444.html,0.0,1,0
2025-07-17,台積電,1130.0,2.0,https://tw.stock.yahoo.com/news/%E6%AD%90%E7%B3%BB%E8%BB%8A%E5%BB%A0%E5%8F%8D%E9%97%9C%E7%A8%85%E7%8D%A8%E6%83%A0%E7%BE%8E%E8%A3%BD%E8%BB%8A-%E7%B6%93%E9%83%A8%E5%A0%85%E6%8C%81%E7%A8%85%E7%8E%87%E5%83%85%E9%81%A9%E7%BE%8E%E5%9C%8B-143400646.html?bcmt=1,2.0,0,0
2025-07-17,台積電,1130.0,5.6,https://tw.news.yahoo.com/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%AC%AC3%E5%AD%A3%E7%87%9F%E6%94%B6%E6%81%90%E7%B8%AE%E6%B0%B4-%E9%98%AE%E6%85%95%E9%A9%8A%E8%A7%A3%E8%AE%80%E9%AD%8F%E5%93%B2%E5%AE%B6%E5%BC%A6%E5%A4%96%E4%B9%8B%E9%9F%B3-%E4%B8%8B%E5%8D%8A%E5%B9%B4%E5%BE%88%E9%9B%A3%E8%B6%85%E8%B6%8A%E4%BA%86-151725514.html?bcmt=1,5.6,0,0
2025-07-17,台積電,1130.0,2.18,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E6%B3%95%E8%AA%AA-a16-%E8%B6%85%E7%B4%9A%E9%9B%BB%E8%BB%8C-2026%E9%87%8F%E7%94%A2-%E9%AD%8F%E5%93%B2%E5%AE%B6%E4%B8%8D%E6%80%95%E5%8C%AF%E7%8E%87%E6%B3%A2%E5%8B%95-161612461.html,2.18,1,0
2025-07-17,台積電,1130.0,3.0,https://tw.news.yahoo.com/asml%E6%9A%B4%E9%9B%B7%E5%BE%8C%E5%8F%B0%E7%A9%8D%E9%9B%BB%E6%9C%83%E6%95%91%E5%A0%B4-%E5%B0%88%E5%AE%B6%E6%9B%9D%E9%A9%9A%E4%BA%BA%E5%B7%A7%E5%90%88-%E7%9C%9F%E7%9A%84%E5%B1%A2%E8%A9%A6%E4%B8%8D%E7%88%BD-152835278.html?bcmt=1,3.0,3,1
2025-07-17,台積電,1130.0,3.0,https://tw.stock.yahoo.com/news/%E5%AE%98%E6%96%B9%E4%B9%9F%E6%84%9B%E7%A9%A9%E7%A9%A9%E8%B3%BA-%E5%9C%8B%E5%AE%B6%E9%9A%8A%E6%96%B0%E6%AD%A1-%E5%85%AB%E5%A4%A7%E5%AE%98%E8%82%A1%E5%88%B8%E5%95%86%E5%8A%9B%E6%8C%BA%E9%80%99%E4%B8%89%E6%AA%94%E9%AB%98%E6%81%AF%E9%BB%91%E9%A6%ACetf-130500977.html,3.0,0,1
2025-07-17,台積電,1130.0,-4.0,https://tw.stock.yahoo.com/news/%E9%99%8D%E6%81%AF%E5%85%88%E7%AD%89%E7%AD%89-fed%E5%BA%AB%E6%A0%BC%E5%8B%92%E7%A4%BA%E8%AD%A6-%E9%97%9C%E7%A8%85%E9%80%9A%E8%86%A8%E5%A3%93%E5%8A%9B%E6%AD%A3%E5%8D%87%E6%BA%AB-183004343.html,-4.0,1,0
2025-07-17,台積電,1130.0,0.0,https://tw.news.yahoo.com/%E5%B7%9D%E6%99%AE%E7%9A%84%E7%B6%93%E6%BF%9F%E5%A5%87%E8%B9%9F-%E9%BB%83%E9%87%91%E6%85%98%E9%81%AD%E6%9A%B4%E6%93%8A-%E6%81%90%E6%80%96%E6%95%B8%E6%93%9A-%E5%BC%B7%E5%BE%97%E4%B8%8D%E5%8F%AF%E6%80%9D%E8%AD%B0-%E8%83%8C%E5%BE%8C%E6%9C%89%E4%BD%95%E7%8E%84%E6%A9%9F-152935893.html,0.0,1,1
2025-07-17,台積電,1130.0,2.0,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A14%E6%8C%87%E6%95%B8-%E7%9B%A4%E4%B8%AD%E7%B9%BC%E7%BA%8C%E7%B4%85-%E5%8F%B0%E7%A9%8D%E9%9B%BBadr%E6%BC%B2%E8%BF%914-165800058.html,2.0,0,0
2025-07-17,台積電,1130.0,0.0,https://tw.stock.yahoo.com/news/mi308%E5%8F%AF%E6%9C%9B%E9%9A%A8h20%E8%A7%A3%E5%B0%81-%E9%80%99%E5%B9%BE%E6%AA%94%E5%B0%87%E5%8F%97%E6%83%A0-%E4%B8%89%E5%A4%A7%E6%B3%95%E4%BA%BA%E7%BF%BB%E8%87%89%E7%A0%8D-3%E6%AA%94-%E8%B6%85%E5%BE%AE%E6%A6%82%E5%BF%B5%E8%82%A1%E9%80%BE27%E5%84%84-140000193.html?bcmt=1,0.0,0,0
