Date,Company,Price,Final Score,Article URL,Sentiment Score,Positive Mentions,Negative Mentions
2025-07-11,台積電,1100.0,-4.0,https://tw.news.yahoo.com/%E9%9B%BB%E5%AD%90%E7%86%84%E7%81%AB-%E9%87%91%E8%9E%8D%E6%92%90%E8%85%B0-%E5%8F%B0%E8%82%A1%E5%B0%8F%E6%BC%B29%E9%BB%9E-011000891.html?bcmt=1,-4.0,0,2
2025-07-11,台積電,1100.0,-3.5,https://tw.news.yahoo.com/%E6%A8%99%E6%99%AE%E9%82%A3%E6%8C%87%E6%94%B9%E5%AF%AB%E6%96%B0%E9%AB%98-%E5%8F%B0%E8%82%A1%E9%96%8B%E7%9B%A4%E4%B8%8B%E8%B7%8C90%E9%BB%9E-010333148.html,-3.5,0,11
2025-07-11,台積電,1100.0,0.0,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1%E6%8E%83%E7%9E%84-%E4%B8%8D%E7%95%8F%E5%B7%9D%E6%99%AE%E9%97%9C%E7%A8%85-%E6%A8%99%E6%99%AE8%E5%BA%A6%E5%89%B5%E6%96%B0%E9%AB%98-%E8%BC%9D%E9%81%94%E9%9E%8F%E5%9B%BA%E8%87%B3%E5%B0%8A%E5%9C%B0%E4%BD%8D-005019749.html,0.0,2,3
2025-07-11,台積電,1100.0,-1.0,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1%E7%9B%A4%E5%BE%8C-%E6%A8%99%E6%99%AE%E9%82%A3%E6%8C%87%E6%94%B9%E5%AF%AB%E6%96%B0%E7%8C%B7-%E8%BC%9D%E9%81%94%E7%99%BB%E4%B8%8A4%E5%85%86%E7%BE%8E%E5%85%83%E7%8E%8B%E5%BA%A7-%E6%AF%94%E7%89%B9%E5%B9%A3%E9%A3%86%E6%96%B0%E9%AB%98-213005276.html,-1.0,1,2
2025-07-11,台積電,1100.0,-3.0,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1%E6%A8%99%E6%99%AE%E9%82%A3%E6%8C%87%E5%86%8D%E5%89%B5%E6%96%B0%E9%AB%98-%E8%BC%9D%E9%81%94%E6%94%B6%E7%9B%A4%E5%B8%82%E5%80%BC%E9%A6%96%E7%AA%81%E7%A0%B44%E5%85%86%E7%BE%8E%E5%85%83-010325909.html,-3.0,2,0
2025-07-11,台積電,1100.0,0.0,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1%E6%8E%83%E7%9E%84-%E4%B8%8D%E7%95%8F%E5%B7%9D%E6%99%AE%E9%97%9C%E7%A8%85-%E6%A8%99%E6%99%AE8%E5%BA%A6%E5%89%B5%E6%96%B0%E9%AB%98-%E8%BC%9D%E9%81%94%E9%9E%8F%E5%9B%BA%E8%87%B3%E5%B0%8A%E5%9C%B0%E4%BD%8D-005019749.html?bcmt=1,0.0,2,3
2025-07-11,台積電,1100.0,-3.5,https://tw.stock.yahoo.com/news/%E6%A8%99%E6%99%AE%E9%82%A3%E6%8C%87%E6%94%B9%E5%AF%AB%E6%96%B0%E9%AB%98-%E5%8F%B0%E8%82%A1%E9%96%8B%E7%9B%A4%E4%B8%8B%E8%B7%8C90%E9%BB%9E-010333148.html,-3.5,0,11
2025-07-11,台積電,1100.0,-4.0,https://tw.stock.yahoo.com/news/%E9%9B%BB%E5%AD%90%E7%86%84%E7%81%AB-%E9%87%91%E8%9E%8D%E6%92%90%E8%85%B0-%E5%8F%B0%E8%82%A1%E5%B0%8F%E6%BC%B29%E9%BB%9E-011000891.html,-4.0,0,2
2025-07-11,台積電,1095.0,9.0,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%81%A3%E9%97%9C%E7%A8%85%E5%B0%9A%E6%9C%AA%E9%96%8B%E7%89%8C-%E4%B8%89%E5%A4%A7%E6%B3%95%E4%BA%BA%E8%BF%BD%E6%8D%A7%E9%AB%98%E5%90%AB%E9%87%91%E9%87%8Fetf%E9%81%BF%E9%A2%A8%E9%A0%AD-002409425.html,9.0,1,0
2025-07-11,台積電,1095.0,10.0,https://tw.stock.yahoo.com/news/%E7%90%86%E8%B2%A1%E5%9C%B0%E5%9C%96-%E7%94%A8%E4%BD%8E%E8%B2%BB%E7%94%A8%E5%89%B5%E9%80%A0%E7%A9%A9%E5%81%A5%E8%B2%A1%E5%AF%8C-tisa%E9%87%8D%E5%A1%91%E7%90%86%E8%B2%A1%E5%9C%B0%E5%9C%96-201000746.html,10.0,4,1
