Price,Close,High,Low,Open,Volume
Ticker,2892.TW,2892.TW,2892.TW,2892.TW,2892.TW
Date,,,,,
2023-09-01,23.489286422729492,23.66689830910275,23.35607571967039,23.35607571967039,9158698
2023-09-04,23.62249755859375,23.666900534362014,23.489288631288957,23.489288631288957,7001839
2023-09-05,23.62249755859375,23.666900534362014,23.53369160705722,23.578094582825486,6820283
2023-09-06,23.444883346557617,23.62249703396541,23.444883346557617,23.53369108440116,13629968
