Date,Company,Price,Final Score,Article URL,Sentiment Score,Positive Mentions,Negative Mentions
2025-06-03,台積電,961.0,4.0,https://tw.stock.yahoo.com/news/%E5%9C%8B%E7%A5%A8%E9%87%91%E6%8E%A7%E6%99%A8%E8%A8%8A-%E5%8F%B0%E6%8C%87%E6%9C%9F%E5%A4%9C%E7%9B%A4%E6%BC%B2-%E5%8F%B0%E8%82%A1%E4%BC%B0%E5%AD%A3%E7%B7%9A%E9%99%84%E8%BF%91%E9%9C%87%E7%9B%AA-004507982.html?bcmt=1,4.0,1,0
2025-06-03,台積電,961.0,-1.5,https://tw.stock.yahoo.com/news/%E7%9B%A4%E5%89%8D%E7%84%A6%E9%BB%9E-%E7%BE%8E%E8%82%A14%E5%A4%A7%E6%8C%87%E6%95%B8%E6%94%B6%E7%B4%85-%E6%B3%95%E4%BA%BA-%E9%97%9C%E7%A8%85%E8%AE%8A%E6%95%B8%E6%8C%81%E7%BA%8C%E7%89%BD%E5%8B%95%E5%8F%B0%E8%82%A1-003857906.html,-1.5,0,0
2025-06-03,台積電,961.0,4.6,https://tw.stock.yahoo.com/news/%E5%8F%B0%E5%8C%97%E8%82%A1%E5%B8%82-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E4%BB%8A%E8%82%A1%E6%9D%B1%E6%9C%83%E7%99%BB%E5%A0%B4%E5%85%88%E5%BD%88%E4%B8%8A5%E6%97%A5%E7%B7%9A-%E5%8F%B0%E8%82%A1%E6%BC%B2%E9%80%BE200%E9%BB%9E-011622070.html,4.6,2,1
2025-06-03,台積電,961.0,-6.0,https://tw.stock.yahoo.com/news/%E8%BB%8A%E5%B8%82%E6%80%A5%E5%87%8D-5%E6%9C%88%E9%8A%B7%E5%94%AE%E9%87%8F%E5%B9%B4%E6%B8%9B23-1-213000970.html,-6.0,0,0
2025-06-03,台積電,961.0,0.0,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1%E6%8E%83%E7%9E%84-%E4%B8%8D%E7%95%8F%E8%B2%BF%E6%98%93%E8%A1%9D%E7%AA%81%E5%8D%87%E6%BA%AB-%E7%BE%8E%E8%82%A1%E6%94%B6%E9%AB%98-%E8%BC%9D%E9%81%94%E6%92%90%E8%B5%B7%E9%82%A3%E6%8C%87-004630671.html,0.0,1,3
2025-06-03,台積電,961.0,0.0,https://tw.stock.yahoo.com/news/%E5%B7%9D%E6%99%AE%E4%B8%8B%E6%9C%80%E5%BE%8C%E9%80%9A%E7%89%92-%E7%8B%82%E5%82%AC%E9%97%9C%E7%A8%85%E8%AB%87%E5%88%A4%E9%80%B2%E5%BA%A6-%E8%A6%81%E6%B1%82%E5%90%84%E5%9C%8B-6-4%E5%89%8D%E4%BA%A4%E6%8F%90%E6%A1%88-004400803.html,0.0,1,0
2025-06-03,台積電,961.0,5.5,https://tw.news.yahoo.com/%E9%96%8B%E7%9B%A4-%E9%AB%98%E7%9B%9B3%E5%88%A9%E5%A4%9A%E7%9C%8B%E5%A5%BD%E5%8F%B0%E7%A9%8D%E9%9B%BB-%E5%8F%B0%E8%82%A1%E6%94%B6%E5%BE%A9%E5%A4%B1%E5%9C%9F%E5%A4%A7%E6%BC%B2%E9%80%BE2%E7%99%BE%E9%BB%9E-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%99%B4%E6%BC%B214%E5%85%83-011400020.html?bcmt=1,5.5,2,0
2025-06-03,台積電,961.0,1.43,https://tw.news.yahoo.com/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E8%82%A1%E6%9D%B1%E6%9C%83%E4%BB%8A%E7%99%BB%E5%A0%B4-%E9%97%9C%E7%A8%85-%E5%8C%AF%E7%8E%87%E8%AD%B0%E9%A1%8C%E5%B0%87%E5%8F%97%E9%97%9C%E6%B3%A8-004308254.html?bcmt=1,1.43,1,0
2025-06-03,台積電,961.0,4.6,https://tw.stock.yahoo.com/news/%E5%8F%B0%E5%8C%97%E8%82%A1%E5%B8%82-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E4%BB%8A%E8%82%A1%E6%9D%B1%E6%9C%83%E7%99%BB%E5%A0%B4%E5%85%88%E5%BD%88%E4%B8%8A5%E6%97%A5%E7%B7%9A-%E5%8F%B0%E8%82%A1%E6%BC%B2%E9%80%BE200%E9%BB%9E-011622070.html?bcmt=1,4.6,2,1
2025-06-03,台積電,961.0,2.0,https://tw.stock.yahoo.com/news/%E4%B8%AD%E5%9C%8B%E6%8E%80-%E9%9B%B6%E5%85%AC%E9%87%8C%E4%BA%8C%E6%89%8B%E8%BB%8A-%E4%BA%82%E8%B1%A1-%E9%81%8E%E5%89%A9%E5%BA%AB%E5%AD%98%E4%BD%8E%E5%83%B9%E8%B3%A4%E8%B3%A3-%E9%8A%B7%E9%87%8F%E9%80%A0%E5%81%87-111446244.html,2.0,1,0
