Date,Company,Price,Final Score,Article URL,Sentiment Score,Positive Mentions,Negative Mentions
2025-09-03,台積電,1160.0,2.33,https://news.cnyes.com/news/id/6137625,2.33,1,0
2025-09-03,台積電,1160.0,0.0,https://news.cnyes.com/news/id/6137740,0.0,0,1
2025-09-03,台積電,1160.0,3.0,https://news.cnyes.com/news/id/6138100,3.0,9,0
2025-09-03,台積電,1160.0,0.6,https://news.cnyes.com/news/id/6137820,0.6,0,0
2025-09-03,台積電,1160.0,-0.29,https://news.cnyes.com/news/id/6138108,-0.29,0,0
2025-09-03,鴻海,198.5,2.33,https://news.cnyes.com/news/id/6137625,2.33,1,0
2025-09-03,鴻海,198.5,0.0,https://news.cnyes.com/news/id/6138100,0.0,9,0
2025-09-03,聯電,40.900001525878906,2.0,https://news.cnyes.com/news/id/6137792,2.0,0,0
2025-09-03,第一金,28.75,2.0,https://news.cnyes.com/news/id/6137951,2.0,2,1
