Price,Close,High,Low,Open,Volume
Ticker,3059.TW,3059.TW,3059.TW,3059.TW,3059.TW
Date,,,,,
2023-09-01,33.753108978271484,34.26735589597347,33.4258641821891,33.659611484162454,9370621
2023-09-04,33.56611633300781,34.03361096958619,33.519364015989154,34.03361096958619,2959940
2023-09-05,33.94010925292969,34.26735763229446,33.612864440265874,33.706361939112405,4868320
2023-09-06,34.033607482910156,34.40760101383734,33.89335767962455,34.12710497396679,3148589
