Date,Company,Price,Final Score,Article URL,Sentiment Score,Positive Mentions,Negative Mentions
2025-07-04,台積電,1085.0,0.0,https://tw.stock.yahoo.com/news/%E4%BA%BA%E5%A3%BD%E5%85%AC%E5%8F%B8-%E6%99%BA%E8%83%BD%E6%A0%B8%E4%BF%9D%E7%B3%BB%E7%B5%B1-%E9%80%81%E4%BB%B6%E5%8D%B3%E5%8F%AF%E5%BE%97%E7%9F%A5%E6%A0%B8%E4%BF%9D%E7%B5%90%E6%9E%9C-142901064.html,0.0,0,1
2025-07-04,台積電,1085.0,3.5,https://tw.stock.yahoo.com/news/%E5%8F%B0%E8%82%A1ai%E9%8F%88%E6%8F%9B%E4%B8%BB%E8%A7%92-%E5%88%86%E6%9E%90%E5%B8%AB%E9%BB%9E%E5%90%8D-2%E6%AA%94-%E4%BD%8E%E8%AA%BF%E9%BB%91%E9%A6%AC-%E7%88%86%E7%99%BC%E6%BD%9B%E5%8A%9B%E4%B8%8D%E8%BC%B8%E6%AC%8A%E5%80%BC%E8%82%A1-151500960.html?bcmt=1,3.5,0,0
2025-07-04,台積電,1085.0,0.0,https://tw.stock.yahoo.com/news/%E7%90%86%E8%B2%A1talk-%E4%B8%BB%E5%8B%95%E5%BC%8F%E5%8F%B0%E8%82%A1etf%E8%BF%91-%E6%9C%88%E7%B8%BE%E6%95%88%E6%AF%94%E6%8B%9A%E5%A4%A7%E7%9B%A4-%E6%9C%80%E6%96%B0%E5%89%8D%E5%8D%81%E6%8C%81%E8%82%A1-%E6%AC%A1%E7%9C%8B-094208791.html,0.0,3,1
2025-07-04,台積電,1085.0,2.0,https://tw.stock.yahoo.com/news/%E5%BF%AB%E8%A8%8A-%E6%96%B0%E5%8F%B0%E5%B9%A3%E5%8D%87%E7%A0%B428-8-%E5%8F%B2%E4%B8%8A%E6%9C%80%E7%94%9C%E6%97%A5%E5%9C%93-0-022400658.html,2.0,2,0
2025-07-04,台積電,1085.0,6.0,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E4%B8%8A%E7%9C%8B1200%E5%85%83-%E9%BB%83%E4%B8%96%E8%81%B0%E7%9B%A4%E9%BB%9E%E5%8F%B0%E8%82%A1-%E8%90%BD%E5%BE%8C%E8%A3%9C%E6%BC%B2-%E6%99%82%E6%A9%9F%E9%BB%9E-%E5%A4%96%E8%B3%87%E6%9C%89%E5%8B%95%E4%BD%9C-145548313.html,6.0,0,4
2025-07-04,台積電,1085.0,6.0,https://tw.news.yahoo.com/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E4%B8%8A%E7%9C%8B1200%E5%85%83-%E9%BB%83%E4%B8%96%E8%81%B0%E7%9B%A4%E9%BB%9E%E5%8F%B0%E8%82%A1-%E8%90%BD%E5%BE%8C%E8%A3%9C%E6%BC%B2-%E6%99%82%E6%A9%9F%E9%BB%9E-%E5%A4%96%E8%B3%87%E6%9C%89%E5%8B%95%E4%BD%9C-145548313.html?bcmt=1,6.0,0,4
2025-07-04,台積電,1085.0,0.11,https://tw.news.yahoo.com/%E5%8C%AF%E7%8E%87%E9%80%86%E9%A2%A8%E6%92%B2%E9%9D%A2%E8%80%8C%E4%BE%86-%E5%A4%A7%E6%91%A9%E5%8F%8A%E5%B0%88%E5%AE%B6%E7%A4%BA%E8%AD%A6-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%87%9F%E6%94%B6-%E7%8D%B2%E5%88%A9%E9%9B%99%E5%8F%97%E5%A3%93-161800377.html,0.11,1,1
2025-07-04,台積電,1085.0,0.5,https://tw.stock.yahoo.com/news/%E7%BE%8E%E5%AA%92-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%86%8A%E6%9C%AC2%E5%BB%A0%E5%BB%B6%E5%BE%8C%E5%8B%95%E5%B7%A5-%E8%B3%87%E6%9C%AC%E8%BD%89%E6%8A%95%E7%BE%8E%E5%9C%8B%E9%81%BF%E9%97%9C%E7%A8%85-132317558.html,0.5,0,0
2025-07-04,台積電,1085.0,1.33,https://tw.stock.yahoo.com/news/%E3%80%8C%E9%80%A0%E5%B1%B1%E8%80%85%E3%80%8D%E6%A6%82%E5%BF%B5%E8%82%A1%E5%BC%B7%E5%8B%A2-4%E6%AA%94%E5%8D%8A%E5%B0%8E%E9%AB%94etf%E6%AF%94%E4%B8%80%E6%AF%94-122157822.html,1.33,2,1
2025-07-04,台積電,1085.0,0.5,https://tw.stock.yahoo.com/news/%E7%BE%8E%E5%AA%92-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%86%8A%E6%9C%AC2%E5%BB%A0%E5%BB%B6%E5%BE%8C%E5%8B%95%E5%B7%A5-%E8%B3%87%E6%9C%AC%E8%BD%89%E6%8A%95%E7%BE%8E%E5%9C%8B%E9%81%BF%E9%97%9C%E7%A8%85-132317558.html?bcmt=1,0.5,0,0
